先生はジョンを叱った。|せんせいはジョンをしかった。
麻雀以外なら何でもやります。|まーじゃんいがいならなんでもやります。
金持ち以外とは付き合わないことにしている。|かねもちいがいとはきつきあわないことにしている。
この部屋以外で物を食べないで下さい。|このへやいがいでものをたべないでください。
日本に来た以上は、日本語をしっかり勉強したい。|にほんにきたいじょうは、にほんごをしっかりべんきょうしたい。
学生である以上、勉強すべきだ。|がくせいであるいじょう、べんきょうすべきだ。
日本語を始めた以上、よく話せて、聞けて、読めて、書けるようになるまで頑張ります。|にほんごをはじめたいじょう、よくはなせて、きけて、よめて、かけるようになるまでがんばります。
新車を買う以上は出来るだけ燃費のいいのを買いたいです。|しんしゃをかういじょうはできるだけねんぴのいいのをかいたいです。
親である以上、子供の教育に関心があるのは当然でしょう。|おやであるいじょう、こどものきょういくにかんしんがあるのはとうぜんでしょう。
もらった以上は、あなたが何と言おうと、私の物です。|もらったいじょうは、あなたがなんといおうと、わたしのものです。
体をよく動かしている以上は、人間の体は衰えないらしい。|からだをよくうごかしているいじょうは、にんげんのからだはおとろえないらしい。
人と約束した以上は、それを守らなければならない。|ひととやくそくしたいじょうは、それをまもらなければならない。
僕が生きている以上、お前に不自由をさせないよ。|ぼくがいきているいじょう、おまえにふじゆうをさせないよ。
酒を飲み続けている以上、病気は治らないよ。|さけをのみつづけているいじょう、びょうきはなおらないよ。
日本語のラジオを聞いている以上、日本語を聞く力は低下しないでしょうね。|にほんごのラジオをきいているいじょう、にほんごをきくちからはていかしないでしょうね。
アメリカ人の目から見ると、日本の社会はいかにも閉鎖的だ。|アメリカじんのめからみると、にほんのしゃかいはいかにもへいさてきだ。
外は雪が降っていて、いかにも寒そうだ。|そとはゆきがふっていて、いかにもさむそうだ。
